Regex,Attempt Regex,Positive Strings,Negative Strings
(a|b)(a|b)+aaa+,((a|b)(a|b))(a*|b*)aaa,"[bbaaa, aaaaa, aaaabaaa, bbaabaaa]","[aaaaab, bbaaab]"
(a|b)(a|b)+aaa+,((a{2})|(b{2}))a*b*(a{3}),[aaaaabaaa],"[aaaaabaaaa, aaaaabaaab]"
(ab|ba)*,(ba)*,[],"[a, b]"
(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a+bba)*(bb)*,"[bbabbbbbaabbabbbab, bbabbbbbaabbabbbabb]","[bbabbbbbaabbabbba, ba]"
(a|(b*bb))*,((a*bbb*a*)+(a*)+(bbb*))*,[abbabb],"[aba, abbabbb]"
(a|(b*bb))*,a*bbb*a*|a*,"[bba, bb]",[ba]
(a|b)*(bab)(a|b)*,b*a*(bab)(a|b)*,[abab],"[ababb, ababba, abaa]"
0(0|1)*0,(0(1*0*1*)0),[0010],[00100]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0((0|1)*1(0|1)*)0)|(1((0|1)*0(0|1)*)1))?,"[01101, 010]",[]
(a|b)*baa(a|b)*b,a*b+aa+a*b+,[baab],[baaba]
(a*ba*b)*a*ba*,(a)*(b)((a)*(bb))*,[],"[baba, bab, ba]"
(a|baa)*,(a)*(baa)*(a)*,"[baaa, baa]",[baaab]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*|0*|(1+(0*1*)1+)|(0+(1*0*)0+),"[01101, 010]",[0101]
(0*10*10*)*|0*,0*|(0*|11)*,[],"[1, 10]"
(a|(b*bb))*,a*|a*bb,[bb],[ba]
(a|b)*baa(a|b)*b,(a|b)*baa(a|b)b,[baaab],[baaabb]
(a|b)(a|b)+aaa+,bbb*aaaa*,[bbaaa],[a]
(a|b)(a|b)+aaa+,(aa+|bb+|ba+|ab+)+aaa,"[aaaaabbaaa, baaaabbaaa]","[aaaaab, baaaab]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*)ba)*)|((a|b)(a*)b),[],"[bbabb, abaab, abaabb, abaa, bbabbb, bbab]"
(b|(a*aa))*,(b+aa+aaa)*,[baaaaa],[a]
(a|b)*baa(a|b)*b,a*b*(baa)+b,[baab],[baaa]
(a*ba*b)*a*ba*,(a*ba*ba*)*a*ba,[],[baa]
(a|b)*baa(a|b)*b,(a|b)(baa)+b,"[bbaab, abaab]","[aa, ba]"
(a|baa)*,"((ba{2,}){1,2}|a{1,}){1,}",[],"[aba, ab, abab]"
(a|baa)*,(a)*(baa)*a*(baa)*,[baaabaa],[baaabaaa]
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)(0|1),"[000, 111]","[0000, 1111]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(0|1)*0+)*)|((1+(0|1)*1+)*),"[00, 011]",[]
a(a|b)*b,a(a|b)+b,"[abb, aab]","[abbb, aabb]"
a(a|b)a(a|b)*,(aaa)|(aba)a*b*,"[aaa, aaba, aabab]","[aaab, aaaa]"
(a|b)*aaa(a|b)*,aaa,[],"[aaab, aaaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|10|11|111|110|100|000|001|011|101,"[000, 00, 01, 001]","[0000, 0011, 00011, 00111]"
(a*ba*b)*a*ba*,b(abb|bab|bba|a)*|(abb|bab|bba|a)*b|(aba|baa|aab),"[aababbbb, aababbbba, aababbbbaababbbbabbba, aababbbbaababbbbabbb]","[aababbbabaababbabbbab, aababbbabaababb, aabaa, aababbb, aababbbabaababbabbbaba, aababbbabaababbb]"
(a*ba*b)*a*ba*,(a)*(aa*)(bb)*b,[],"[abb, aba]"
0*10*(10*10*)*,((11)*10*),"[1, 10]",[0]
(0(0*|1+0)*)|(1(1*|0+1)*),1+(0+1)*1*|0+(1+0)*0*,"[011011, 0100, 01101, 010]",[01001]
(a*ba*b)*a*ba*,(a|bb|abab|bab|baba)*b(a|bb|abab|bab|baba)*,[],"[baaba, baab, baabaa]"
(a|(b*bb))*,(a*(bbb*))*,[abb],[aba]
0*10*(10*10*)*,(0*(10*1)*0*1(10*1)*0*),"[11010, 1101]",[110101]
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba)*),[],"[bbabb, abaab, abaabb, abaa, bbabbb, bbab]"
0*10*(10*10*)*,(0*1|1(11)*|10*|1(101)*),"[01, 010]","[011010111, 01101011, 010]"
0*10*(10*10*)*,((11)*1),[1],[0]
(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1|(1010)*|(0101)*,"[0011, 001101011001, 001101011001010110]","[00111011001101, 00111010, 001110101, 0011101100110101, 0010, 001110110011010]"
(a|b)*baa(a|b)*b,a*b*(baa)a*b*b,[baab],[baaba]
0(0|1)*0,0(0(0|1)*0)*0,[],[00001]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|(010)*|(10101)*,[010010101],"[00, 0100]"
(a|(b*bb))*,a*,[],[b]
(a|b)*baa(a|b)*b,(a|b)+(baa)a*b,"[bbaab, abaab]",[]
(0*10*10*)*|0*,0*|(11)+0*|0*(11)+,"[011, 01110, 0111]",[010]
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111),"[000001, 0000010011]",[000000]
(a|baa)*,(baa)*a*,[a],"[ab, aba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(((0+)1(0+))*),[],"[011, 01]"
(a|(b*bb))*,a*b*bb,[bb],[ba]
(a|(b*bb))*,a*b+ba*b+b,"[bbabb, bbabbb]",[ba]
0(0|1)*0,00*(0+1)*0*0,[00],[001]
(a|(b*bb))*,a*|(bb)*|a*(bb)*a*,"[bba, bb]",[ba]
(a|b)(a|b)+aaa+,a+b+a+b+aaa+a,[ababaaaa],[ababaaaab]
(a|b)*aaa(a|b)*,(a|b)*aaa(b)*,"[aaa, aaab]",[]
0*10*(10*10*)*,(0*(0*10*10*)0*10*),[111],[1111]
(a*ba*b)*a*ba*,a*b(a|(bb)|bab)*,[],"[bba, bb, bbaa]"
(a|baa)*,(a)*(b)(aa)(a)*,[baa],[baab]
(a*ba*b)*a*ba*,(a*ba*b)*ba*,[abb],"[, ab, a]"
a(a|b)a(a|b)*,(aaa(a*b*)*)+(aba(a*b*)*),[aaaaba],[aaaabab]
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab),[],"[baaa, bababb, baa, bababba]"
(a|(b*bb))*,(a)*bb(b)*,[bb],[ba]
(a|b)*(bab)(a|b)*,(a+b)*(bab)(b+a)*,[],"[a, babb, baa]"
(a|(b*bb))*,a*(b+b+)a*,"[bba, bb]",[ba]
0*10*(10*10*)*,0*1(10*1)*(0*(11)*),[1011],[1010]
(a|(b*bb))*,a*(bba*)*,[],"[b, ba]"
(a|baa)*,a*((baa)*)+,[baa],[baaa]
(a|(b*bb))*,(bb+|b+b)*a*(bb+|b+b)*a*,"[abb, abbb, abba]",[aba]
(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*),[],"[bba, bb]"
(a*ba*b)*a*ba*,a*b,[b],[ba]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(0*11*0)*(0?)|1(1*00*1)*(1?)|0*|1*,[],"[01000, 010010111]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111),"[00010, 0001]","[0000, 000111101]"
0*10*(10*10*)*,0*((10*)|(10*)),[1],[11]
a*(ba*ba*ba*)*,(ba*bb)*|(bba*b)*|a*,"[a, babb, babbabbb]","[ab, ababbbabb]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*(a|b)a*b)?,[],"[abb, bba, aba, bbb]"
(a|baa)*,(ba+a+)*,[baa],[a]
(0|10*1)*,((0*10*)(0*10*))*,[011],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(00*)|(11*)|(11*0*11*)*|(00*1*00*)*,"[01101, 010]",[0101]
(a*ba*b)*a*ba*,a*b(a*b(a)*b(a)*)*,[babb],[]
(a|baa)*,(a*|(baa)),"[a, baa]",[ab]
(a|(b*bb))*,a*(bbb*)*a*(bbb*)*a*,"[bbabb, bbabba]",[ba]
(a|baa)*,(a*baaa*)*,[abaa],[abaab]
(0|1)(0|1)*,(0|1)((0|1)+),"[00, 11]",[]
(a*ba*b)*a*ba*,a*b(a|b{2})*,[],"[bba, bb]"
(a|(b*bb))*,(a?)*(bb|bbb)*(a?)*,"[bba, bb]",[ba]
(a|(b*bb))*,((bb)*a*)*,[],"[b, ba]"
a*(ba*ba*ba*)*,(ba*ba*ba*)*,[bbb],[a]
(a*ba*b)*a*ba*,(a)*(ba*b)*b,[],"[baba, bab, ba]"
(0|1)(0|1)*,0+0*|0+1*|1+0*|1+1*,"[0, 01, 1, 10]",[010]
(ab|ba)*,ab,[],[aa]
(a*ba*b)*a*ba*,(a)*b((a*)(bb))*,[],"[baba, bab, ba]"
(a|baa)*,a*(baa)*a*,"[baaa, baa]",[baaab]
(a*ba*b)*a*ba*,(a*|(bb)*)*b(a*|(bb)*)*,[],"[baba, bab]"
(0*10*10*)*|0*,((0)*1(0)*1(0)*)*,[011],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1|0|(01*0)*|(10*1)*,[000101],"[000, 001]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*11*00*)*)|(1(1*00*11*)*)?,"[001101, 0010]",[00101011]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*011*100*)*)|((1*100*011*)*)|(0*)|(1*),"[0111001, 0110]",[010]
(a|(b*bb))*,a*bbb*,[bb],[ba]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*1)?,"[00, 011]",[]
(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b|ba|ab),"[b, ba]",[baa]
(a*ba*b)*a*ba*,a*b(a*|bb|ba*b),"[bbb, ba]",[bab]
(a|baa)*,((b)(a{2})a*)|(a*(b)(a{2})a*),[baa],[baab]
(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b(a)*|ba|ab|(b(a)*)),"[b, baa, ba]",[baab]
(0|10*1)*,(0*(10*1)0*)*,[011],[]
(a*ba*b)*a*ba*,(a)*(b)((a)*(bb)*)*,[],"[bba, bb]"
(a*ba*b)*a*ba*,a*b|a*ba*(bb)*a*,"[bbba, bbb]",[bba]
(a|b)*baa(a|b)*b,(a*|b*)baa+b,[abaab],"[abaaba, abaabb]"
1*(01*01*01*)*,1|11|(1*01*01*01*)*,[000],[000111]
a(a|b)a(a|b)*,(aba)|(aaa),"[aaa, aba]","[aaaa, abab]"
(b|(a*aa))*,(b*|a+ab*|aa+b*)(b*|aa+b*|a+ab*)(b*|aa+b*|a+ab*),"[aabaabaa, aabaabaab]",[aabaabaaba]
(a|baa)*,"[ab]a{2,}","[aaa, baa]","[aaab, baab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(0*11*0)*|1(1*00*1)*|0*|1*,[],"[0100, 0101011]"
(a*ba*b)*a*ba*,(a|bb)*(b)(a|bb)*,[],"[baba, bab]"
(a|(b*bb))*,a?(a|bb)*,[],"[b, ba]"
(a|(b*bb))*,(a?)*(bb|bbb|abb|bba)*(a?)*,"[bbaabbb, bbaaa, bbaabb]","[bbaaab, ba]"
0*10*(10*10*)*,0*10*(11)*0*,"[111, 1110]",[110]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1+0+)*|(1+0+1+)*,"[011011, 0100, 01101, 010]",[01001]
(a|baa)*,"(a*b?a{2,})*",[],"[aaba, aab, aabab]"
(a|baa)*,"(a*|ba{2,})",[a],"[ab, aba]"
0*10*(10*10*)*,0*1(0*10*1)*,[],[10]
(0*10*10*)*|0*,(0*(1)0*(1))|(0*),[11],[110]
0*10*(10*10*)*,(11)*0*1(11)*0*(11)*|1(11)*0*(11)*0*(11)*|(11)*0*(11)*0*1(11)*,"[0101101011, 01011]","[010111, 01010, 0101110]"
0*10*(10*10*)*,(0*1(0*10*1)*),[],[10]
(0*10*10*)*|0*,0*10*1(11)0*,[1111],[110]
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000),"[0000010, 000001]",[000000]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(101)*1*)|(0*(010)*0*),"[0110111, 011011, 01000, 0100, 01101, 010]",[010001]
(a|(b*bb))*,(a*(bb+))*,[abb],[aba]
1*(01*01*01*01*)*,(1*01*01*01*01*)*,[0000],[00001]
(0*10*10*)*|0*,((10*)10*)*,[11],[0]
(a|baa)*,(a*)|(baa+)|(a*baa+),[baa],[baab]
(a|b)*baa(a|b)*b,(a*|b*)*baaa*b+,[baab],[]
(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1)(0|1)),"[000, 111]","[0000, 1111]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0|1(0*1*)*1)?,"[00, 011]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1|0|(1+(0*1*)*1+)|(0+(1*0*)*0+),[],"[01, 010]"
(a*ba*b)*a*ba*,(aa|bb)*b,[ab],"[, ab, a]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|(((a|b)a*ba)*))?,[],"[bbabb, abaab, abaabb, abaa, bbabbb, bbab]"
(0|1)(0|1)*,(0*1+)*(1*0+)+,[0],[]
(a*ba*b)*a*ba*,((bb)*a*(bb)*)ba*,"[aba, abbb]",[abab]
(a|(b*bb))*,a*(bb|bbb)*a*,"[bba, bb]",[ba]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(0*11*0)*|1(1*00*1)*,[],"[00, 011, 001, 010]"
(a|(b*bb))*,(a)*(bb)*(bbb)*(a)*(bbb)*(bb)*(a)*,"[bbabb, bbabba]",[ba]
(a*ba*b)*a*ba*,a*b(a|abb|bab|bba)*,[],"[baba, babaa, babb, bab]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*)|(((a|b)a*b)?),[],"[bbabb, abaab, abaabb, abaa, bbabbb, bbab]"
(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b|ba|ab|(b(a)*)),"[b, baa, ba]",[baab]
(a|(b*bb))*,(a*bb*ba*)+(a)*,"[bba, bb]",[ba]
(a*ba*b)*a*ba*,a*b(a*)(bb)*,[bbb],[bba]
(a*ba*b)*a*ba*,ba*(ba*ba*)*,[],"[bb, a]"
b*a*,(a+|b+)a+,[aa],[aab]
0*10*(10*10*)*,0*1(10*1)*0*,"[1, 10]",[101]
(a|(b*bb))*,a*|(b+b)|a*,"[bb, a]",[ab]
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*b*(aaa)a*,"[bbaaabaaabaaa, aaaaabaaabaaa]","[aaaaabaaabaaab, bbaaabaaabaaab]"
(a|baa)*,(b)?(aa)[a]*,[aa],[aab]
(a*ba*b)*a*ba*,(a)*(b(bb)*),[],"[bb, ba]"
a*(ba*ba*ba*)*,(a*(ba*)a*(ba*)a*(ba*)a*)*,[abbb],[]
(a|b)*baa(a|b)*b,a*b+aa(a|b)*b+,[baab],[baabb]
(a|(b*bb))*,a*(b+b)a*,"[bba, bb]",[ba]
(a|b)*baa(a|b)*b,((a|b)*(baa)+)b,[baab],[]
(0|10*1)*,(11)*|0*,"[0, 11]",[01]
(a|baa)*,"(ba{2,}){1,2}",[baabaa],[a]
(0|1)(0|1)*,1,[],[0]
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011),"[0000010, 000001]","[000000, 00000111101101]"
(a|(b*bb))*,(a*(bb)*(a)*)*,[],"[b, ba]"
a*(ba*ba*ba*)*,(ba*bb)*|(bba*b)*,[babb],"[a, babbbabb]"
(ab|ba)*,((ab)*|(ba)*)|((ba)*|(ab)*),"[ab, aba]",[aa]
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100),"[0000010, 000001]","[000000, 000001111101]"
a(a|b)a(a|b)*,(aaa|aba)b|(aaa|aba)a,"[aaaa, abab]","[ababb, aaaaa]"
(a*ba*b)*a*ba*,a*b(a*bb)*,[],"[baba, bab, ba]"
(a*ba*b)*a*ba*,(a)*b(a|ba*b),[ba],"[bab, baa]"
(0|1)(0|1)*,1(0*1*),"[11, 1]",[0]
(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1],"[000, 111]","[0000, 1111]"
1*(01*01*01*01*)*,1*01*01*01*01*,[0000],[00000]
(a|b)*(bab)(a|b)*,(ab)*bab(ab)*,[abab],"[aa, , a]"
(0|1)(0|1)*,0*1+0*|1*0+1*,"[0, 01, 1, 101, 010, 10]",[0101]
(a|(b*bb))*,(a*(bb)*a*)*,[],"[b, ba]"
0*10*(10*10*)*,0*1(10*1)*,[1],[10]
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001),[000001],[000000]
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba)*)|((a|b)a*b))?,[],"[bbabb, abaab, abaabb, abaa, bbabbb, bbab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011),"[00001110, 00001, 000010, 0000111]",[00000]
(a|b)(a|b)+aaa+,(ab|aa|bb|ba)aaaa*,"[bbaaa, aaaaa]","[aaaaab, bbaaab]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a|(a(a|b)a*b)*),[],"[abaaba, abaabb, bbabbb, bbabba]"
(a*ba*b)*a*ba*,a*b(bb)*,[],"[bb, ba]"
(a|baa)*,a*(baa)*((a)*(baa)*),[baaabaa],[baaabaaa]
(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*(aaa)a*,"[aaaaabaaa, bbaaabaaa]","[bbaaabaaab, aaaaabaaab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0((0*1*)*)0)|(1((0*1*)*)1),"[00, 011]",[]
(a*ba*b)*a*ba*,(a|bb|bab)*b(a|bb|bab)*,[],"[baaba, baab, baabaa]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101),"[0001, 00010111]","[0000, 000111101]"
0*10*(10*10*)*,(1(11)*),[1],[0]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0|1(0|1)*1|0(0|1)*0)?,[0111],[01]
(a|(b*bb))*,a*(a+bb)*(bb)*,[abbabb],"[aba, abba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(0+1))*)|(0+1+0+((0+1+0)|(1+0))*),[],"[010100, 01010101011]"
(a|b)*baa(a|b)*b,(a*)+baa+(a*)b,[baab],[baaba]
(a*ba*b)*a*ba*,(a|bb)+b,[ab],"[abb, aba]"
(a|(b*bb))*,(a|(bb)+)*|a*,[],"[b, ba]"
(a|(b*bb))*,(a*(bb+bbb)a*)*a*,[bbbbb],[ba]
(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*b,[],"[baa, ba]"
(0|10*1)*,((0*)(1)(0*)(1))*,[],"[0, 01]"
(a*ba*b)*a*ba*,a*b(a*)(bb)|a*(bb)*a*b,"[babb, babbab]","[baba, babbba]"
(a|baa)*,a*(baa+)|a*,[baa],[baab]
(a|b)(a|b)+aaa+,((a|b)(a|b))+aaa+,"[bbaaa, aaaaa, aaaaaa, bbaaaa]",[]
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(b*)a*(aaa),"[bbaaa, aaaaa]","[aaaaab, bbaaab]"
(a|b)*baa(a|b)*b,a*b*baaa*b*b,[baab],[baaba]
(0|10*1)*,((11)*)?,[],"[0, 1]"
(a|baa)*,"a*ba{2,}",[baa],[baab]
(a*ba*b)*a*ba*,(a*b(bb)*)((a*b(bb)*)(a*b(bb)*))*,[],[ba]
(a*ba*b)*a*ba*,a*b(a*ba*b)+a*,[bbb],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1+)*)|(0+(1*0+)*),[],"[01, 010]"
(a|baa)*,(a*)(baa(a*))(a*),[baa],[baab]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*1)|0*,[0111],[01]
a(a|b)a(a|b)*,(aaa|aba)(a+b)*,[],"[aaab, abaa, aaaa, abab]"
0+1*,0+1+,[01],[010]
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+,"[bbaaa, aaaaa]","[aaaaab, bbaaab]"
(a|(b*bb))*,(bb|bbb)*(a)*(bb|bbb)*(a)*(bb|bbb)*,"[abbabb, abbabbb]",[aba]
(a|b)*baa(a|b)*b,(a?b)*baa+(a?b)*b+,[],"[aa, , a, baaba, baabab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101),"[001, 0010, 00111]",[000]
(a|b)*baa(a|b)*b,(a*|b*)(baa)(a*|b*)b,[abaaab],"[abaaaba, abaaabbb]"
(a|baa)*,(a*)(b(aa))*,[baa],[baaa]
(a|(b*bb))*,a*bb+a*,"[bba, bb]",[ba]
(a*ba*b)*a*ba*,a*b(bb|a|bab)*,[],"[bba, bb, bbaa]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*|(b(aa)b)*|(baabab)*|(baabba)*,"[ababaabbaababbaabbaabbabaabba, ababaabbaababbaabbaabbabaabbba, abab]","[aa, ababbabaababba, ababbabaababbaabba, ababbabaababbaa, ababbabaababbaabb, ababbabaababbaab, ababbaa, ababbabaababb, ababbaab]"
(b|(a*aa))*,b*(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"[aabaabaa, aabaabaab]",[aabaabaaba]
(a|baa)*,(ba+a+a*)*,[baa],[a]
(a|b)*baa(a|b)*b,a*b+a+a+a*b+,[baab],[baaba]
(a*ba*b)*a*ba*,a*b(a*|(bb)*),"[bbb, ba]",[bab]
(a*ba*b)*a*ba*,a*ba*(a*ba*ba*),[bbb],[bbbb]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|(0(0|1)*0)|(1(0|1)*1),[],"[01, 010]"
(a*ba*b)*a*ba*,a*b(bb)*a*,[ba],[bab]
(a|(b*bb))*,(a|b)bb(a|b),"[abba, bbbb]","[aa, ba]"
(0|10*1)*,0|(10*1),[0],"[00, 01]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000),"[0000010, 000001]",[000000]
(a|b)*baa(a|b)*b,(a|b)(baa)b,"[bbaab, abaab]","[aa, ba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010),"[000111, 00010, 0001]",[0000]
b*a*,(a+)|((b+))+((a*)+),"[a, b]",[ab]
0*10*(10*10*)*,1,[],[0]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*))|(0(0*11*00*)*)|(1(1*))|(1(1*00*11*)*),[],"[01, 010]"
(0|1)(0|1)*,0|1+0|1,[0],"[00, 011, 01]"
(b|(a*aa))*,(b*(ba+ab)b*)*,"[baabb, baab]",[a]
(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*,[bb],[ba]
(a|(b*bb))*,(a*(bb+|b+b)*a)*,[],"[bb, b, ba]"
(a|b)*baa(a|b)*b,(a|b)*baa(a*)b,[baab],[]
(a|(b*bb))*,(bb+a)*,[],"[bb, a, b]"
0(0|1)*0,(01?)+1*(1?0)+,[],"[001101, 0011011]"
(a|baa)*,a*(baa)*,[baa],[baaa]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*|0|1,"[01101, 010]",[0101]
